prime,"PipelineFlatNBEOf with extraction OCaml using precomputed_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_decision_tree (real, s)","PipelineFlatNBEOf with extraction OCaml using unreduced_naive (real, s)","PipelineNBEOf with vm_compute using BoundsPipeline (real, s)","GallinaAxOf with vm_compute using None (real, s)","GallinaAxOf with cbv using None (real, s)",extra info
107839786668602559178668060348078522694548577690162289924414440996859,0.017559,0.041003,0.147734,2.454,0.057,1.38,UnsaturatedSolinas x64 (0)
107839786668602559178668060348078522694548577690162289924414440996859,1.906655,4.325094,17.051222,211.784,6.714,155.401,WordByWordMontgomery x32
107839786668602559178668060348078522694548577690162289924414440996859,0.132254,0.307660,1.130029,17.299,0.656,15.931,WordByWordMontgomery x64
1725436586697640946858688965569256363112777243042596638790631055949797,0.083121,0.238866,0.854965,14.094,0.355,8.422,UnsaturatedSolinas x32 (0)
1725436586697640946858688965569256363112777243042596638790631055949797,0.016113,0.042030,0.148240,2.449,0.058,1.419,UnsaturatedSolinas x64 (0)
1725436586697640946858688965569256363112777243042596638790631055949797,1.899534,4.367733,17.097260,212.123,6.86,155.319,WordByWordMontgomery x32
1725436586697640946858688965569256363112777243042596638790631055949797,0.136433,0.307968,1.112770,17.673,0.661,14.455,WordByWordMontgomery x64
55213970774324510299478046898216203619608871777363092441300193790394353,0.086366,0.244094,0.849114,14.328,0.369,8.667,UnsaturatedSolinas x32 (0)
55213970774324510299478046898216203619608871777363092441300193790394353,0.015591,0.040471,0.144443,2.517,0.063,1.483,UnsaturatedSolinas x64 (0)
55213970774324510299478046898216203619608871777363092441300193790394353,1.886683,4.333183,17.007316,212.344,6.722,153.255,WordByWordMontgomery x32
55213970774324510299478046898216203619608871777363092441300193790394353,0.137408,0.300928,1.120981,17.857,0.67,14.406,WordByWordMontgomery x64
14134776518227074636666380005943348126619871175004951664972849610340958199,0.085346,0.241549,0.861618,14.07,0.386,9.159,UnsaturatedSolinas x32 (0)
14134776518227074636666380005943348126619871175004951664972849610340958199,0.025392,0.064955,0.231123,3.846,0.104,2.795,UnsaturatedSolinas x64 (0)
14134776518227074636666380005943348126619871175004951664972849610340958199,1.914076,4.328211,17.218397,209.754,6.887,154.233,WordByWordMontgomery x32
14134776518227074636666380005943348126619871175004951664972849610340958199,0.140785,0.314670,1.118626,17.698,0.64,14.45,WordByWordMontgomery x64
3618502788666131106986593281521497120414687020801267626233049500247285301239,0.115638,0.315894,1.106668,18.186,0.529,12.859,UnsaturatedSolinas x32 (0)
3618502788666131106986593281521497120414687020801267626233049500247285301239,0.025780,0.065403,0.234505,3.801,0.11,2.638,UnsaturatedSolinas x64 (0)
3618502788666131106986593281521497120414687020801267626233049500247285301239,1.941502,4.414110,17.339565,211.753,6.835,155.468,WordByWordMontgomery x32
3618502788666131106986593281521497120414687020801267626233049500247285301239,0.135146,0.314249,1.126587,17.819,0.65,14.644,WordByWordMontgomery x64
28723632732102194046035667469577626311807405711506937402182952014414119698431,,,,,,,UnsaturatedSolinas x32 (0)
28723632732102194046035667469577626311807405711506937402182952014414119698431,,,,,,,UnsaturatedSolinas x64 (0)
28723632732102194046035667469577626311807405711506937402182952014414119698431,1.962428,4.329096,16.322103,218.278,6.83,155.854,WordByWordMontgomery x32
28723632732102194046035667469577626311807405711506937402182952014414119698431,0.137150,0.302448,1.110104,17.391,0.661,14.569,WordByWordMontgomery x64
57896044618658097711785492504343953926634992332820282019728792003956564819203,0.137511,0.403130,1.396734,22.771,0.684,16.304,UnsaturatedSolinas x32 (0)
57896044618658097711785492504343953926634992332820282019728792003956564819203,0.026137,0.068153,0.233061,3.892,0.112,2.718,UnsaturatedSolinas x64 (0)
57896044618658097711785492504343953926634992332820282019728792003956564819203,1.902006,4.359885,17.197062,213.728,6.778,155.877,WordByWordMontgomery x32
57896044618658097711785492504343953926634992332820282019728792003956564819203,0.136993,0.316018,1.147146,17.674,0.656,14.486,WordByWordMontgomery x64
57896044618658097711785492504343953926634992332820282019728792003956564819949,0.115864,0.313058,1.130708,17.648,0.547,13.022,UnsaturatedSolinas x32 (0)
57896044618658097711785492504343953926634992332820282019728792003956564819949,0.027397,0.066784,0.232602,3.873,0.112,2.708,UnsaturatedSolinas x64 (0)
57896044618658097711785492504343953926634992332820282019728792003956564819949,1.929179,4.421342,17.498934,212.97,6.769,153.976,WordByWordMontgomery x32
57896044618658097711785492504343953926634992332820282019728792003956564819949,0.138572,0.313013,1.142744,17.721,0.659,14.448,WordByWordMontgomery x64
115636606695615697602567654828622531023877166082715509571142882662199379099647,,,,,,,UnsaturatedSolinas x32 (0)
115636606695615697602567654828622531023877166082715509571142882662199379099647,,,,,,,UnsaturatedSolinas x64 (0)
115636606695615697602567654828622531023877166082715509571142882662199379099647,1.919869,4.297672,16.269051,217.06,6.688,171.446,WordByWordMontgomery x32
115636606695615697602567654828622531023877166082715509571142882662199379099647,0.142914,0.302589,1.121239,18.026,0.659,14.587,WordByWordMontgomery x64
115792089210356248762697446949407573530086143415290314195533631308867097853951,1.330307,2.372620,6.476892,97.238,4.094,100.809,UnsaturatedSolinas x32 (0)
115792089210356248762697446949407573530086143415290314195533631308867097853951,0.088123,0.215408,0.719174,11.479,0.442,10.561,UnsaturatedSolinas x64 (0)
115792089210356248762697446949407573530086143415290314195533631308867097853951,1.987996,4.134298,16.200188,217.532,6.818,157.565,WordByWordMontgomery x32
115792089210356248762697446949407573530086143415290314195533631308867097853951,0.135367,0.312546,1.142095,17.695,0.66,14.447,WordByWordMontgomery x64
115792089237316195423570985008687907853269984665640564039457584007908834671663,0.182101,0.511103,1.777464,28.828,0.836,19.792,UnsaturatedSolinas x32 (0)
115792089237316195423570985008687907853269984665640564039457584007908834671663,0.037667,0.099369,0.341348,5.788,0.163,4.013,UnsaturatedSolinas x64 (0)
115792089237316195423570985008687907853269984665640564039457584007908834671663,2.004694,4.325927,16.074857,212.759,6.826,156.546,WordByWordMontgomery x32
115792089237316195423570985008687907853269984665640564039457584007908834671663,0.133838,0.313550,1.099381,17.681,0.662,14.446,WordByWordMontgomery x64
115792089237316195423570985008687907853269984665640564039457584007913129639747,0.142822,0.407636,1.398589,23.02,0.692,16.419,UnsaturatedSolinas x32 (0)
115792089237316195423570985008687907853269984665640564039457584007913129639747,0.026350,0.065799,0.233477,3.982,0.113,2.788,UnsaturatedSolinas x64 (0)
115792089237316195423570985008687907853269984665640564039457584007913129639747,1.931783,4.363950,17.358806,215.604,6.775,154.445,WordByWordMontgomery x32
115792089237316195423570985008687907853269984665640564039457584007913129639747,0.138732,0.304654,1.148189,18.372,0.67,14.523,WordByWordMontgomery x64
118571099379011784113736688648896417641748464297615937576404566024103044751294461,0.117721,0.320024,1.139432,19.165,0.583,13.809,UnsaturatedSolinas x32 (0)
118571099379011784113736688648896417641748464297615937576404566024103044751294461,0.025834,0.065775,0.234109,3.913,0.121,2.928,UnsaturatedSolinas x64 (0)
118571099379011784113736688648896417641748464297615937576404566024103044751294461,3.431912,7.609486,28.819457,328.376,12.923,305.374,WordByWordMontgomery x32
118571099379011784113736688648896417641748464297615937576404566024103044751294461,0.346111,0.725542,2.550810,38.87,1.928,47.201,WordByWordMontgomery x64
62165404551223330269422781018352605012557018849668464680057997111644937126566671941623,0.155908,0.416682,1.436388,23.109,0.838,20.207,UnsaturatedSolinas x32 (0)
62165404551223330269422781018352605012557018849668464680057997111644937126566671941623,0.027143,0.067539,0.237117,3.944,0.136,3.276,UnsaturatedSolinas x64 (0)
62165404551223330269422781018352605012557018849668464680057997111644937126566671941623,3.431645,7.560176,28.046338,333.639,12.53,297.294,WordByWordMontgomery x32
62165404551223330269422781018352605012557018849668464680057997111644937126566671941623,0.337156,0.717246,2.512769,38.308,1.949,46.653,WordByWordMontgomery x64
3978585891278293137243057985174566720803649206378781739523711815145275976100267004264429,0.191768,0.500452,1.736500,28.618,1.072,25.697,UnsaturatedSolinas x32 (0)
3978585891278293137243057985174566720803649206378781739523711815145275976100267004264429,0.028404,0.068141,0.234453,3.953,0.146,3.45,UnsaturatedSolinas x64 (0)
3978585891278293137243057985174566720803649206378781739523711815145275976100267004264429,5.838197,13.246375,50.225772,490.349,21.341,535.019,WordByWordMontgomery x32
