prime,"PipelineFlatNBEOf with extraction OCaml (real, s)","PipelineNBEOf with vm_compute (real, s)","GallinaAxOf with vm_compute (real, s)","GallinaAxOf with cbv (real, s)",extra info
3369993333393829974333376885877453834204643052817571560137951281149,0.020366,0.139,0.053,1.314,UnsaturatedSolinas x64 (0)
3369993333393829974333376885877453834204643052817571560137951281149,0.812555,,3.139,76.744,WordByWordMontgomery x32 
3369993333393829974333376885877453834204643052817571560137951281149,0.111511,1.374,0.575,14.657,WordByWordMontgomery x64 
6739986666787659948666753771754907668409286105635143120275902562187,0.069315,0.798,0.343,7.682,UnsaturatedSolinas x32 (0)
6739986666787659948666753771754907668409286105635143120275902562187,0.020426,0.149,0.053,1.422,UnsaturatedSolinas x64 (0)
6739986666787659948666753771754907668409286105635143120275902562187,0.881784,,3.132,72.745,WordByWordMontgomery x32 
6739986666787659948666753771754907668409286105635143120275902562187,0.117798,1.341,0.574,13.901,WordByWordMontgomery x64 
26959946667150639794667015087019630673557916260026308143510066298881,,,,,UnsaturatedSolinas x32 (0)
26959946667150639794667015087019630673557916260026308143510066298881,,,,,UnsaturatedSolinas x64 (0)
26959946667150639794667015087019630673557916260026308143510066298881,0.820366,,,,WordByWordMontgomery x32 
26959946667150639794667015087019630673557916260026308143510066298881,0.112661,,,,WordByWordMontgomery x64 
107839786668602559178668060348078522694548577690162289924414440996859,0.065934,0.827,0.33,8.286,UnsaturatedSolinas x32 (0)
107839786668602559178668060348078522694548577690162289924414440996859,0.019242,0.151,0.054,1.411,UnsaturatedSolinas x64 (0)
107839786668602559178668060348078522694548577690162289924414440996859,1.665466,,6.272,150.592,WordByWordMontgomery x32 
107839786668602559178668060348078522694548577690162289924414440996859,0.116436,1.355,0.571,13.889,WordByWordMontgomery x64 
1725436586697640946858688965569256363112777243042596638790631055949797,0.069116,0.873,0.34,8.776,UnsaturatedSolinas x32 (0)
1725436586697640946858688965569256363112777243042596638790631055949797,0.020602,0.151,0.056,1.472,UnsaturatedSolinas x64 (0)
1725436586697640946858688965569256363112777243042596638790631055949797,1.791078,,6.334,161.21,WordByWordMontgomery x32 
1725436586697640946858688965569256363112777243042596638790631055949797,0.117137,1.348,0.571,14.71,WordByWordMontgomery x64 
55213970774324510299478046898216203619608871777363092441300193790394353,0.072699,0.87,0.359,9.118,UnsaturatedSolinas x32 (0)
55213970774324510299478046898216203619608871777363092441300193790394353,0.019404,0.144,0.058,1.528,UnsaturatedSolinas x64 (0)
55213970774324510299478046898216203619608871777363092441300193790394353,1.723897,,6.325,159.423,WordByWordMontgomery x32 
55213970774324510299478046898216203619608871777363092441300193790394353,0.118564,1.341,0.573,14.731,WordByWordMontgomery x64 
14134776518227074636666380005943348126619871175004951664972849610340958199,0.072979,0.877,0.373,9.245,UnsaturatedSolinas x32 (0)
14134776518227074636666380005943348126619871175004951664972849610340958199,0.027379,0.229,0.099,2.597,UnsaturatedSolinas x64 (0)
14134776518227074636666380005943348126619871175004951664972849610340958199,1.623079,,6.281,156.42,WordByWordMontgomery x32 
14134776518227074636666380005943348126619871175004951664972849610340958199,0.115237,1.376,0.62,14.666,WordByWordMontgomery x64 
3618502788666131106986593281521497120414687020801267626233049500247285301239,0.096691,1.156,0.512,13.144,UnsaturatedSolinas x32 (0)
3618502788666131106986593281521497120414687020801267626233049500247285301239,0.028626,0.252,0.104,2.741,UnsaturatedSolinas x64 (0)
3618502788666131106986593281521497120414687020801267626233049500247285301239,1.653062,,6.401,151.581,WordByWordMontgomery x32 
3618502788666131106986593281521497120414687020801267626233049500247285301239,0.115925,1.357,0.627,14.011,WordByWordMontgomery x64 
28723632732102194046035667469577626311807405711506937402182952014414119698431,,,,,UnsaturatedSolinas x32 (0)
28723632732102194046035667469577626311807405711506937402182952014414119698431,,,,,UnsaturatedSolinas x64 (0)
28723632732102194046035667469577626311807405711506937402182952014414119698431,1.772784,,,,WordByWordMontgomery x32 
28723632732102194046035667469577626311807405711506937402182952014414119698431,0.113788,,,,WordByWordMontgomery x64 
57896044618658097711785492504343953926634992332820282019728792003956564819203,0.118405,1.475,0.662,16.108,UnsaturatedSolinas x32 (0)
57896044618658097711785492504343953926634992332820282019728792003956564819203,0.028878,0.237,0.106,2.662,UnsaturatedSolinas x64 (0)
57896044618658097711785492504343953926634992332820282019728792003956564819203,1.716070,,6.363,151.32,WordByWordMontgomery x32 
57896044618658097711785492504343953926634992332820282019728792003956564819203,0.110083,1.343,0.616,13.977,WordByWordMontgomery x64 
57896044618658097711785492504343953926634992332820282019728792003956564819949,0.093320,1.166,0.523,13.643,UnsaturatedSolinas x32 (0)
57896044618658097711785492504343953926634992332820282019728792003956564819949,0.033752,0.265,0.107,2.693,UnsaturatedSolinas x64 (0)
57896044618658097711785492504343953926634992332820282019728792003956564819949,1.750401,,6.378,150.82,WordByWordMontgomery x32 
57896044618658097711785492504343953926634992332820282019728792003956564819949,0.116358,1.355,0.625,14.125,WordByWordMontgomery x64 
115636606695615697602567654828622531023877166082715509571142882662199379099647,,,,,UnsaturatedSolinas x32 (0)
115636606695615697602567654828622531023877166082715509571142882662199379099647,,,,,UnsaturatedSolinas x64 (0)
115636606695615697602567654828622531023877166082715509571142882662199379099647,1.525862,,,,WordByWordMontgomery x32 
115636606695615697602567654828622531023877166082715509571142882662199379099647,0.107285,,,,WordByWordMontgomery x64 
115792089210356248762697446949407573530086143415290314195533631308867097853951,,,,,UnsaturatedSolinas x32 (0)
115792089210356248762697446949407573530086143415290314195533631308867097853951,,,,,UnsaturatedSolinas x64 (0)
115792089210356248762697446949407573530086143415290314195533631308867097853951,1.775833,,,,WordByWordMontgomery x32 
115792089210356248762697446949407573530086143415290314195533631308867097853951,0.112899,,,,WordByWordMontgomery x64 
115792089237316195423570985008687907853269984665640564039457584007908834671663,,,,,UnsaturatedSolinas x32 (0)
115792089237316195423570985008687907853269984665640564039457584007908834671663,0.036779,,,,UnsaturatedSolinas x64 (0)
115792089237316195423570985008687907853269984665640564039457584007908834671663,1.671242,,,,WordByWordMontgomery x32 
115792089237316195423570985008687907853269984665640564039457584007908834671663,0.115821,,,,WordByWordMontgomery x64 
115792089237316195423570985008687907853269984665640564039457584007913129639747,0.113816,1.397,0.666,16.266,UnsaturatedSolinas x32 (0)
115792089237316195423570985008687907853269984665640564039457584007913129639747,0.029157,0.242,0.108,2.739,UnsaturatedSolinas x64 (0)
115792089237316195423570985008687907853269984665640564039457584007913129639747,1.708608,,6.38,150.743,WordByWordMontgomery x32 
115792089237316195423570985008687907853269984665640564039457584007913129639747,0.118414,1.378,0.614,14.168,WordByWordMontgomery x64 
118571099379011784113736688648896417641748464297615937576404566024103044751294461,0.096764,1.177,0.566,15.071,UnsaturatedSolinas x32 (0)
118571099379011784113736688648896417641748464297615937576404566024103044751294461,0.026790,0.255,0.115,2.993,UnsaturatedSolinas x64 (0)
118571099379011784113736688648896417641748464297615937576404566024103044751294461,3.212079,,,,WordByWordMontgomery x32 
118571099379011784113736688648896417641748464297615937576404566024103044751294461,0.304154,,1.826,44.843,WordByWordMontgomery x64 
62165404551223330269422781018352605012557018849668464680057997111644937126566671941623,0.128145,1.533,0.804,20.651,UnsaturatedSolinas x32 (0)
62165404551223330269422781018352605012557018849668464680057997111644937126566671941623,0.021177,0.283,0.13,3.304,UnsaturatedSolinas x64 (0)
62165404551223330269422781018352605012557018849668464680057997111644937126566671941623,3.057923,,,,WordByWordMontgomery x32 
62165404551223330269422781018352605012557018849668464680057997111644937126566671941623,0.300625,,1.832,44.92,WordByWordMontgomery x64 
3978585891278293137243057985174566720803649206378781739523711815145275976100267004264429,0.156367,,1.015,26.549,UnsaturatedSolinas x32 (0)
3978585891278293137243057985174566720803649206378781739523711815145275976100267004264429,0.021193,0.287,0.136,3.627,UnsaturatedSolinas x64 (0)
3978585891278293137243057985174566720803649206378781739523711815145275976100267004264429,6.026150,,,,WordByWordMontgomery x32 
3978585891278293137243057985174566720803649206378781739523711815145275976100267004264429,0.297578,,1.826,44.301,WordByWordMontgomery x64 
4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873143,0.215447,,1.479,37.526,UnsaturatedSolinas x32 (0)
4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873143,0.034703,0.429,0.268,6.088,UnsaturatedSolinas x64 (0)
4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873143,9.707001,,,,WordByWordMontgomery x32 
4271974071841820164790043412339104229205409044713305539894083215644439451561281100045924173873143,0.680703,,4.863,117.654,WordByWordMontgomery x64 
8543948143683640329580086824678208458410818089423688076513504625452471533457129634052536482660351,,,,,UnsaturatedSolinas x32 (0)
8543948143683640329580086824678208458410818089423688076513504625452471533457129634052536482660351,,,,,UnsaturatedSolinas x64 (0)
8543948143683640329580086824678208458410818089423688076513504625452471533457129634052536482660351,10.695855,,,,WordByWordMontgomery x32 
8543948143683640329580086824678208458410818089423688076513504625452471533457129634052536482660351,0.688043,,,,WordByWordMontgomery x64 
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444719,0.215894,,1.615,43.916,UnsaturatedSolinas x32 (0)
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444719,0.036814,0.481,0.261,7.048,UnsaturatedSolinas x64 (0)
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444719,9.560427,,,,WordByWordMontgomery x32 
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444719,0.688736,,4.731,117.831,WordByWordMontgomery x64 
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,0.207747,,1.628,41.469,UnsaturatedSolinas x32 (0)
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,0.037428,0.484,0.261,7.012,UnsaturatedSolinas x64 (0)
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,10.794406,,,,WordByWordMontgomery x32 
139984046386112763159840142535527767382602843577165595931249318810236991948760059086304843329475444733,0.652396,,4.755,117.717,WordByWordMontgomery x64 
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,0.215525,,1.628,41.3,UnsaturatedSolinas x32 (0)
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,0.038432,0.468,0.266,7.038,UnsaturatedSolinas x64 (0)
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,10.302343,,,,WordByWordMontgomery x32 
559936185544451052639360570142111069530411374308662383724997275240947967795040236345219373317901778929,0.689478,,4.722,117.67,WordByWordMontgomery x64 
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,0.340468,,2.734,73.783,UnsaturatedSolinas x32 (0)
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,0.058063,0.741,0.442,11.856,UnsaturatedSolinas x64 (0)
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,18.204322,,,,WordByWordMontgomery x32 
1202453802380202612679414065556140558016349465041059773802132977424491020858679523053413887173001575952350707687,0.620978,,4.724,118.369,WordByWordMontgomery x64 
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,0.343842,,2.867,77.472,UnsaturatedSolinas x32 (0)
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,0.060658,0.742,0.464,12.421,UnsaturatedSolinas x64 (0)
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,18.388721,,,,WordByWordMontgomery x32 
1231312693637327475383720003129487931408741852202045208373384168882678805359287831606695820465153613775207124697069,0.701026,,4.718,118.782,WordByWordMontgomery x64 
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,0.423934,,3.417,87.505,UnsaturatedSolinas x32 (0)
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,0.058299,0.752,0.472,12.721,UnsaturatedSolinas x64 (0)
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,18.597490,,,,WordByWordMontgomery x32 
9850501549098619803069760025035903451269934817616361666987073351061430442874302652853566563721228910201656997576599,0.708749,,4.746,118.783,WordByWordMontgomery x64 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,0.488026,,4.173,102.183,UnsaturatedSolinas x32 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,0.060861,0.788,0.475,12.049,UnsaturatedSolinas x64 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,18.578935,,,,WordByWordMontgomery x32 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995152987,0.691170,,4.722,118.731,WordByWordMontgomery x64 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,0.416906,,3.461,93.717,UnsaturatedSolinas x32 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,0.059688,0.733,0.477,11.951,UnsaturatedSolinas x64 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,16.717235,,,,WordByWordMontgomery x32 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153221,0.694779,,4.738,126.558,WordByWordMontgomery x64 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,0.417661,,3.449,93.747,UnsaturatedSolinas x32 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,0.058919,0.772,0.477,11.915,UnsaturatedSolinas x64 (0)
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,18.481658,,,,WordByWordMontgomery x32 
19701003098197239606139520050071806902539869635232723333974146702122860885748605305707133127442457820403313995153377,0.683326,,4.743,118.214,WordByWordMontgomery x64 
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,,,,,UnsaturatedSolinas x32 (0)
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,,,,,UnsaturatedSolinas x64 (0)
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,18.615959,,,,WordByWordMontgomery x32 
27242793346725870392864805069239920482418413479970250235261124736529268568574243274298145027791523704776457633923071,0.691550,,,,WordByWordMontgomery x64 
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,,,,,UnsaturatedSolinas x32 (0)
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,,,,,UnsaturatedSolinas x64 (0)
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,18.865701,,,,WordByWordMontgomery x32 
39399000061888528705747341564979723453684698396802844018513788071802160543945063912606632720166983136866747113537535,0.647113,,,,WordByWordMontgomery x64 
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,,,,,UnsaturatedSolinas x32 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,,,,,UnsaturatedSolinas x64 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,18.994636,,,,WordByWordMontgomery x32 
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,0.695721,,,,WordByWordMontgomery x64 
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,0.401803,,3.422,92.97,UnsaturatedSolinas x32 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,0.058755,0.783,0.474,12.021,UnsaturatedSolinas x64 (0)
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,18.803833,,,,WordByWordMontgomery x32 
