prime,"UnsaturatedSolinas x32 GallinaAxOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with vm_compute (0) (real, s)","WordByWordMontgomery x32 GallinaAxOf with vm_compute (real, s)","WordByWordMontgomery x64 GallinaAxOf with vm_compute (real, s)","UnsaturatedSolinas x32 GallinaAxOf with cbv (0) (real, s)","UnsaturatedSolinas x64 GallinaAxOf with cbv (0) (real, s)","WordByWordMontgomery x32 GallinaAxOf with cbv (real, s)","WordByWordMontgomery x64 GallinaAxOf with cbv (real, s)","UnsaturatedSolinas x32 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","UnsaturatedSolinas x64 PipelineFlatNBEOf with extraction OCaml (0) (real, s)","WordByWordMontgomery x32 PipelineFlatNBEOf with extraction OCaml (real, s)","WordByWordMontgomery x64 PipelineFlatNBEOf with extraction OCaml (real, s)","UnsaturatedSolinas x32 PipelineNBEOf with vm_compute (0) (real, s)","UnsaturatedSolinas x64 PipelineNBEOf with vm_compute (0) (real, s)","WordByWordMontgomery x32 PipelineNBEOf with vm_compute (real, s)","WordByWordMontgomery x64 PipelineNBEOf with vm_compute (real, s)"
39402006196394479212279040100143613805079739270465446667948293404245721771496870329047266088258938001861606973112319,,,,,,,,,,,18.994636,0.695721,,,,
39402006196394479212279040100143613805079739270465446667948293404245721771497210611414266254884915640806627990306499,3.422,0.474,,4.731,92.97,12.021,,118.672,0.401803,0.058755,18.803833,0.696786,,0.783,,
1260864198284623334792929283204595641762551656654894293374345388935863096687910739565256520156317300505812095689818091,3.542,0.489,,,89.802,13.182,,,0.413520,0.059020,33.087221,1.375055,,0.772,,
5164499756173817179311838344006023748659411585658447025661318713081295244033682389259290706560275662871806343945494986721,3.759,0.518,,,96.196,13.304,,,0.438432,0.059136,32.558687,1.403447,,0.817,,
21153791001287955166461289857048673274508949854856999017108761448780985319561963066406054734070889115122918784800747465736171,4.615,0.741,,,118.693,18.775,,,0.528540,0.085385,28.876614,1.620525,,1.129,,
42307582002575910332922579714097346549017899709713998034217522897561970639123926132812109468141778230245837569601494931472367,4.63,0.744,,,117.865,20.251,,,0.519189,0.080514,33.391068,1.616669,,1.114,,
169230328010303641331690318856389386196071598838855992136870091178871743226194193992506142233229486675299383870011013888737279,,,,,,,,,,,28.737569,1.396649,,,,
45427420268475430659332737993000283397102585042957378767593137448789955507087370207886940669610222847547657600391636120845912601788399,6.088,0.852,,,154.974,21.591,,,0.651517,0.095663,48.809094,1.573026,,1.247,,
726838724295606890549323807888004534353641360687318060281490199180612328166730772686396383698676545930088884461843637361053498018365439,,,,,,,,,,,56.255871,1.364510,,,,
2907354897182427562197295231552018137414565442749272241125960796722503232560257392025174868824880222981702812136219630589176199293960191,,,,,,,,,,,81.716465,3.519140,,,,
