prime,user,real,kind,bitwidth,descr1,descr2,index,nlimbs,prime_str
170141183460469231731687303715884105727,1.344,1.352,UnsaturatedSolinas,64,PipelineArithOf,lazy,(0),3,2^127-1
170141183460469231731687303715884105727,0.3,0.297,UnsaturatedSolinas,64,GallinaDefOf,cbv_no_rt,(0),3,2^127-1
170141183460469231731687303715884105727,0.415,0.414,UnsaturatedSolinas,64,GallinaDefOf,lazy_no_rt,(0),3,2^127-1
170141183460469231731687303715884105727,0.02,0.022,WordByWordMontgomery,64,GallinaAxOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,0.028,0.467,WordByWordMontgomery,64,GallinaAxOf,native_compute (1),,,2^127-1
170141183460469231731687303715884105727,0.012,0.08,WordByWordMontgomery,64,GallinaAxOf,native_compute (2),,,2^127-1
170141183460469231731687303715884105727,0.524,0.566,WordByWordMontgomery,64,GallinaAxOf,cbv,,,2^127-1
170141183460469231731687303715884105727,0.675,0.677,WordByWordMontgomery,64,GallinaAxOf,lazy,,,2^127-1
170141183460469231731687303715884105727,0.156,0.228,WordByWordMontgomery,64,GallinaAxComputedOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,0.628,0.626,WordByWordMontgomery,64,GallinaAxComputedOf,cbv,,,2^127-1
170141183460469231731687303715884105727,0.78,0.78,WordByWordMontgomery,64,GallinaAxComputedOf,lazy,,,2^127-1
170141183460469231731687303715884105727,0.228,0.228,WordByWordMontgomery,64,PipelineFullOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,0.203,0.206,WordByWordMontgomery,64,PipelineFullToStringsOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,0.116,0.116,WordByWordMontgomery,64,PipelineNBEOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,0.12,0.118,WordByWordMontgomery,64,PipelineArithOf,vm_compute,,,2^127-1
170141183460469231731687303715884105727,5.152,217.341,WordByWordMontgomery,64,PipelineFullOf,native_compute (1),,,2^127-1
170141183460469231731687303715884105727,0.219,1.435,WordByWordMontgomery,64,PipelineFullOf,native_compute (2),,,2^127-1
170141183460469231731687303715884105727,0.6,5.731,WordByWordMontgomery,64,PipelineFullToStringsOf,native_compute (1),,,2^127-1
170141183460469231731687303715884105727,0.195,0.312,WordByWordMontgomery,64,PipelineFullToStringsOf,native_compute (2),,,2^127-1
170141183460469231731687303715884105727,0.12,0.435,WordByWordMontgomery,64,PipelineNBEOf,native_compute (1),,,2^127-1
170141183460469231731687303715884105727,0.199,0.492,WordByWordMontgomery,64,PipelineNBEOf,native_compute (2),,,2^127-1
170141183460469231731687303715884105727,0.136,0.45,WordByWordMontgomery,64,PipelineArithOf,native_compute (1),,,2^127-1
170141183460469231731687303715884105727,0.14,0.237,WordByWordMontgomery,64,PipelineArithOf,native_compute (2),,,2^127-1
170141183460469231731687303715884105727,3.26,3.306,WordByWordMontgomery,64,PipelineFullOf,cbv,,,2^127-1
170141183460469231731687303715884105727,3.771,3.794,WordByWordMontgomery,64,PipelineFullToStringsOf,cbv,,,2^127-1
170141183460469231731687303715884105727,2.268,2.303,WordByWordMontgomery,64,PipelineNBEOf,cbv,,,2^127-1
170141183460469231731687303715884105727,2.008,2.006,WordByWordMontgomery,64,PipelineArithOf,cbv,,,2^127-1
170141183460469231731687303715884105727,2.887,2.913,WordByWordMontgomery,64,PipelineFullOf,lazy,,,2^127-1
170141183460469231731687303715884105727,3.216,3.232,WordByWordMontgomery,64,PipelineFullToStringsOf,lazy,,,2^127-1
170141183460469231731687303715884105727,1.692,1.691,WordByWordMontgomery,64,PipelineNBEOf,lazy,,,2^127-1
170141183460469231731687303715884105727,1.763,1.765,WordByWordMontgomery,64,PipelineArithOf,lazy,,,2^127-1
170141183460469231731687303715884105727,0.504,0.505,WordByWordMontgomery,64,GallinaDefOf,cbv_no_rt,,,2^127-1
170141183460469231731687303715884105727,0.676,0.677,WordByWordMontgomery,64,GallinaDefOf,lazy_no_rt,,,2^127-1
680564733841876926926749214863536422887,0.036,0.034,UnsaturatedSolinas,32,GallinaAxOf,vm_compute,(0),5,2^129-25
680564733841876926926749214863536422887,0.023,0.562,UnsaturatedSolinas,32,GallinaAxOf,native_compute (1),(0),5,2^129-25
680564733841876926926749214863536422887,0.012,0.107,UnsaturatedSolinas,32,GallinaAxOf,native_compute (2),(0),5,2^129-25
680564733841876926926749214863536422887,0.888,0.932,UnsaturatedSolinas,32,GallinaAxOf,cbv,(0),5,2^129-25
680564733841876926926749214863536422887,1.2,1.207,UnsaturatedSolinas,32,GallinaAxOf,lazy,(0),5,2^129-25
680564733841876926926749214863536422887,0.171,0.212,UnsaturatedSolinas,32,GallinaAxComputedOf,vm_compute,(0),5,2^129-25
680564733841876926926749214863536422887,1.268,1.276,UnsaturatedSolinas,32,GallinaAxComputedOf,cbv,(0),5,2^129-25
680564733841876926926749214863536422887,1.815,1.823,UnsaturatedSolinas,32,GallinaAxComputedOf,lazy,(0),5,2^129-25
680564733841876926926749214863536422887,0.327,0.328,UnsaturatedSolinas,32,PipelineFullOf,vm_compute,(0),5,2^129-25
680564733841876926926749214863536422887,0.331,0.332,UnsaturatedSolinas,32,PipelineFullToStringsOf,vm_compute,(0),5,2^129-25
680564733841876926926749214863536422887,0.224,0.225,UnsaturatedSolinas,32,PipelineNBEOf,vm_compute,(0),5,2^129-25
680564733841876926926749214863536422887,0.227,0.225,UnsaturatedSolinas,32,PipelineArithOf,vm_compute,(0),5,2^129-25
680564733841876926926749214863536422887,5.239,202.754,UnsaturatedSolinas,32,PipelineFullOf,native_compute (1),(0),5,2^129-25
680564733841876926926749214863536422887,0.279,0.584,UnsaturatedSolinas,32,PipelineFullOf,native_compute (2),(0),5,2^129-25
680564733841876926926749214863536422887,0.624,5.651,UnsaturatedSolinas,32,PipelineFullToStringsOf,native_compute (1),(0),5,2^129-25
680564733841876926926749214863536422887,0.264,0.439,UnsaturatedSolinas,32,PipelineFullToStringsOf,native_compute (2),(0),5,2^129-25
680564733841876926926749214863536422887,0.215,0.629,UnsaturatedSolinas,32,PipelineNBEOf,native_compute (1),(0),5,2^129-25
680564733841876926926749214863536422887,0.208,0.323,UnsaturatedSolinas,32,PipelineNBEOf,native_compute (2),(0),5,2^129-25
680564733841876926926749214863536422887,0.211,0.493,UnsaturatedSolinas,32,PipelineArithOf,native_compute (1),(0),5,2^129-25
680564733841876926926749214863536422887,0.211,0.296,UnsaturatedSolinas,32,PipelineArithOf,native_compute (2),(0),5,2^129-25
680564733841876926926749214863536422887,5.036,5.063,UnsaturatedSolinas,32,PipelineFullOf,cbv,(0),5,2^129-25
680564733841876926926749214863536422887,6.407,6.428,UnsaturatedSolinas,32,PipelineFullToStringsOf,cbv,(0),5,2^129-25
680564733841876926926749214863536422887,4.18,4.226,UnsaturatedSolinas,32,PipelineNBEOf,cbv,(0),5,2^129-25
680564733841876926926749214863536422887,3.84,3.853,UnsaturatedSolinas,32,PipelineArithOf,cbv,(0),5,2^129-25
680564733841876926926749214863536422887,4.235,4.269,UnsaturatedSolinas,32,PipelineFullOf,lazy,(0),5,2^129-25
680564733841876926926749214863536422887,5.132,5.154,UnsaturatedSolinas,32,PipelineFullToStringsOf,lazy,(0),5,2^129-25
680564733841876926926749214863536422887,3.115,3.119,UnsaturatedSolinas,32,PipelineNBEOf,lazy,(0),5,2^129-25
680564733841876926926749214863536422887,2.991,2.995,UnsaturatedSolinas,32,PipelineArithOf,lazy,(0),5,2^129-25
680564733841876926926749214863536422887,0.791,0.798,UnsaturatedSolinas,32,GallinaDefOf,cbv_no_rt,(0),5,2^129-25
680564733841876926926749214863536422887,1.239,1.24,UnsaturatedSolinas,32,GallinaDefOf,lazy_no_rt,(0),5,2^129-25
680564733841876926926749214863536422887,0.052,0.051,UnsaturatedSolinas,32,GallinaAxOf,vm_compute,(1),6,2^129-25
680564733841876926926749214863536422887,0.032,0.288,UnsaturatedSolinas,32,GallinaAxOf,native_compute (1),(1),6,2^129-25
680564733841876926926749214863536422887,0.012,0.106,UnsaturatedSolinas,32,GallinaAxOf,native_compute (2),(1),6,2^129-25
680564733841876926926749214863536422887,1.284,1.326,UnsaturatedSolinas,32,GallinaAxOf,cbv,(1),6,2^129-25
680564733841876926926749214863536422887,1.788,1.791,UnsaturatedSolinas,32,GallinaAxOf,lazy,(1),6,2^129-25
680564733841876926926749214863536422887,0.195,0.231,UnsaturatedSolinas,32,GallinaAxComputedOf,vm_compute,(1),6,2^129-25
680564733841876926926749214863536422887,1.94,1.941,UnsaturatedSolinas,32,GallinaAxComputedOf,cbv,(1),6,2^129-25
680564733841876926926749214863536422887,2.548,2.55,UnsaturatedSolinas,32,GallinaAxComputedOf,lazy,(1),6,2^129-25
680564733841876926926749214863536422887,0.435,0.441,UnsaturatedSolinas,32,PipelineFullOf,vm_compute,(1),6,2^129-25
680564733841876926926749214863536422887,0.476,0.48,UnsaturatedSolinas,32,PipelineFullToStringsOf,vm_compute,(1),6,2^129-25
680564733841876926926749214863536422887,0.323,0.321,UnsaturatedSolinas,32,PipelineNBEOf,vm_compute,(1),6,2^129-25
680564733841876926926749214863536422887,0.32,0.321,UnsaturatedSolinas,32,PipelineArithOf,vm_compute,(1),6,2^129-25
680564733841876926926749214863536422887,5.292,199.842,UnsaturatedSolinas,32,PipelineFullOf,native_compute (1),(1),6,2^129-25
680564733841876926926749214863536422887,0.3,0.602,UnsaturatedSolinas,32,PipelineFullOf,native_compute (2),(1),6,2^129-25
680564733841876926926749214863536422887,0.72,5.566,UnsaturatedSolinas,32,PipelineFullToStringsOf,native_compute (1),(1),6,2^129-25
680564733841876926926749214863536422887,0.343,0.483,UnsaturatedSolinas,32,PipelineFullToStringsOf,native_compute (2),(1),6,2^129-25
680564733841876926926749214863536422887,0.296,0.583,UnsaturatedSolinas,32,PipelineNBEOf,native_compute (1),(1),6,2^129-25
680564733841876926926749214863536422887,0.327,0.471,UnsaturatedSolinas,32,PipelineNBEOf,native_compute (2),(1),6,2^129-25
680564733841876926926749214863536422887,0.316,0.664,UnsaturatedSolinas,32,PipelineArithOf,native_compute (1),(1),6,2^129-25
680564733841876926926749214863536422887,0.287,0.463,UnsaturatedSolinas,32,PipelineArithOf,native_compute (2),(1),6,2^129-25
680564733841876926926749214863536422887,7.364,7.4,UnsaturatedSolinas,32,PipelineFullOf,cbv,(1),6,2^129-25
680564733841876926926749214863536422887,9.224,9.235,UnsaturatedSolinas,32,PipelineFullToStringsOf,cbv,(1),6,2^129-25
680564733841876926926749214863536422887,6.527,6.59,UnsaturatedSolinas,32,PipelineNBEOf,cbv,(1),6,2^129-25
680564733841876926926749214863536422887,5.667,5.667,UnsaturatedSolinas,32,PipelineArithOf,cbv,(1),6,2^129-25
680564733841876926926749214863536422887,6.1,6.148,UnsaturatedSolinas,32,PipelineFullOf,lazy,(1),6,2^129-25
680564733841876926926749214863536422887,8.039,8.039,UnsaturatedSolinas,32,PipelineFullToStringsOf,lazy,(1),6,2^129-25
680564733841876926926749214863536422887,4.648,4.644,UnsaturatedSolinas,32,PipelineNBEOf,lazy,(1),6,2^129-25
680564733841876926926749214863536422887,4.664,4.7,UnsaturatedSolinas,32,PipelineArithOf,lazy,(1),6,2^129-25
680564733841876926926749214863536422887,1.171,1.173,UnsaturatedSolinas,32,GallinaDefOf,cbv_no_rt,(1),6,2^129-25
680564733841876926926749214863536422887,1.863,1.862,UnsaturatedSolinas,32,GallinaDefOf,lazy_no_rt,(1),6,2^129-25
680564733841876926926749214863536422887,0.588,0.606,WordByWordMontgomery,32,GallinaAxOf,vm_compute,,,2^129-25
680564733841876926926749214863536422887,0.187,0.613,WordByWordMontgomery,32,GallinaAxOf,native_compute (1),,,2^129-25
680564733841876926926749214863536422887,0.184,0.334,WordByWordMontgomery,32,GallinaAxOf,native_compute (2),,,2^129-25
680564733841876926926749214863536422887,11.984,12.04,WordByWordMontgomery,32,GallinaAxOf,cbv,,,2^129-25
680564733841876926926749214863536422887,19.828,19.855,WordByWordMontgomery,32,GallinaAxOf,lazy,,,2^129-25
680564733841876926926749214863536422887,3.532,3.551,WordByWordMontgomery,32,PipelineFullOf,vm_compute,,,2^129-25
680564733841876926926749214863536422887,3.671,3.682,WordByWordMontgomery,32,PipelineFullToStringsOf,vm_compute,,,2^129-25
680564733841876926926749214863536422887,2.827,2.844,WordByWordMontgomery,32,PipelineNBEOf,vm_compute,,,2^129-25
680564733841876926926749214863536422887,2.7,2.725,WordByWordMontgomery,32,PipelineArithOf,vm_compute,,,2^129-25
680564733841876926926749214863536422887,7.504,208.14,WordByWordMontgomery,32,PipelineFullOf,native_compute (1),,,2^129-25
680564733841876926926749214863536422887,2.459,2.836,WordByWordMontgomery,32,PipelineFullOf,native_compute (2),,,2^129-25
680564733841876926926749214863536422887,3.02,8.158,WordByWordMontgomery,32,PipelineFullToStringsOf,native_compute (1),,,2^129-25
680564733841876926926749214863536422887,2.555,2.708,WordByWordMontgomery,32,PipelineFullToStringsOf,native_compute (2),,,2^129-25
680564733841876926926749214863536422887,2.015,2.411,WordByWordMontgomery,32,PipelineNBEOf,native_compute (1),,,2^129-25
680564733841876926926749214863536422887,2.043,2.224,WordByWordMontgomery,32,PipelineNBEOf,native_compute (2),,,2^129-25
