src/Util/ZUtil/Quot.vo (real: 1.63, user: 1.44, sys: 0.18, mem: 516228 ko)
src/Util/ZUtil/Testbit.vo (real: 1.25, user: 1.07, sys: 0.18, mem: 492964 ko)
src/Util/ZUtil/Ones.vo (real: 1.43, user: 1.24, sys: 0.19, mem: 495556 ko)
src/Util/ZUtil/Land.vo (real: 0.51, user: 0.33, sys: 0.17, mem: 378424 ko)
src/Util/Tuple.vo (real: 2.02, user: 1.85, sys: 0.16, mem: 471848 ko)
src/Util/ZUtil/EquivModulo.vo (real: 0.67, user: 0.48, sys: 0.18, mem: 465176 ko)
src/Util/NumTheoryUtil.vo (real: 1.14, user: 0.94, sys: 0.20, mem: 478292 ko)
src/Arithmetic/BarrettReduction/Wikipedia.vo (real: 1.24, user: 1.06, sys: 0.17, mem: 493844 ko)
src/Arithmetic/MontgomeryReduction/Definition.vo (real: 0.58, user: 0.41, sys: 0.17, mem: 413184 ko)
src/Algebra/Group.vo (real: 3.84, user: 3.66, sys: 0.17, mem: 414732 ko)
src/Compilers/Tuple.vo (real: 0.62, user: 0.45, sys: 0.15, mem: 452704 ko)
src/Compilers/Conversion.vo (real: 0.22, user: 0.14, sys: 0.08, mem: 202400 ko)
src/Compilers/ExprInversion.vo (real: 0.48, user: 0.33, sys: 0.14, mem: 315052 ko)
src/Compilers/RewriterInterp.vo (real: 0.17, user: 0.11, sys: 0.05, mem: 131184 ko)
src/Arithmetic/BarrettReduction/HAC.vo (real: 3.81, user: 3.59, sys: 0.21, mem: 523552 ko)
bbv/src/bbv/Word.vo (real: 21.64, user: 21.40, sys: 0.23, mem: 738868 ko)
src/Util/ZRange.vo (real: 0.68, user: 0.50, sys: 0.17, mem: 453432 ko)
src/Compilers/WfReflectiveGen.vo (real: 0.79, user: 0.65, sys: 0.13, mem: 453476 ko)
src/Compilers/InSet/TypeifyInterp.vo (real: 0.33, user: 0.21, sys: 0.11, mem: 308448 ko)
src/Arithmetic/BarrettReduction/Generalized.vo (real: 4.73, user: 4.56, sys: 0.16, mem: 545152 ko)
src/Util/ZRange/Show.vo (real: 0.50, user: 0.33, sys: 0.16, mem: 394728 ko)
src/Util/ZUtil/Stabilization.vo (real: 0.91, user: 0.69, sys: 0.22, mem: 494800 ko)
src/Util/MSetPositive/Facts.vo (real: 0.67, user: 0.50, sys: 0.17, mem: 446324 ko)
src/LegacyArithmetic/Interface.vo (real: 0.87, user: 0.70, sys: 0.16, mem: 456324 ko)
src/Util/ZUtil/Tactics/Ztestbit.vo (real: 0.57, user: 0.40, sys: 0.16, mem: 414024 ko)
src/Util/ZUtil/Pow2Mod.vo (real: 1.59, user: 1.40, sys: 0.18, mem: 496196 ko)
src/LegacyArithmetic/BaseSystemProofs.vo (real: 1.07, user: 0.88, sys: 0.18, mem: 472184 ko)
src/Specific/Framework/RawCurveParameters.vo (real: 0.63, user: 0.45, sys: 0.18, mem: 453468 ko)
src/Util/HList.vo (real: 0.72, user: 0.54, sys: 0.17, mem: 453804 ko)
src/Util/ZUtil/Tactics.vo (real: 0.58, user: 0.38, sys: 0.20, mem: 413344 ko)
src/Util/ZBounded.vo (real: 0.72, user: 0.57, sys: 0.14, mem: 455160 ko)
src/Util/SideConditions/Autosolve.vo (real: 0.35, user: 0.22, sys: 0.12, mem: 289548 ko)
bbv/src/bbv/WordScope.vo (real: 0.44, user: 0.29, sys: 0.14, mem: 335828 ko)
src/Util/Decidable/Decidable2Bool.vo (real: 0.85, user: 0.68, sys: 0.17, mem: 456048 ko)
src/Util/IdfunWithAlt.vo (real: 0.53, user: 0.39, sys: 0.13, mem: 417852 ko)
src/LegacyArithmetic/BarretReduction.vo (real: 2.58, user: 2.36, sys: 0.21, mem: 504452 ko)
src/Arithmetic/ModularArithmeticPre.vo (real: 0.87, user: 0.70, sys: 0.17, mem: 467760 ko)
src/Algebra/ScalarMult.vo (real: 1.72, user: 1.54, sys: 0.17, mem: 450552 ko)
src/Compilers/SmartMap.vo (real: 0.92, user: 0.71, sys: 0.20, mem: 457572 ko)
